Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2019-10-21,54.31,54.31,53.14,53.23,52.85,6836000,0.0,0
2019-10-22,53.12,53.51,52.29,52.92,52.55,5598400,0.0,0
2019-10-23,52.93,53.41,52.66,53.24,52.86,5038300,0.0,0
2019-10-24,54.2,57.1,54.0,56.29,55.89,10462200,0.0,0
2019-10-25,56.07,56.8,55.73,56.74,56.34,4043800,0.0,0
2019-10-28,56.92,57.82,56.83,57.64,57.23,5439200,0.0,0
2019-10-29,57.61,57.9,57.15,57.21,56.81,3074800,0.0,0
2019-10-30,57.19,57.27,56.48,57.04,56.64,2280500,0.0,0
2019-10-31,56.55,56.64,55.73,56.13,55.73,2555200,0.0,0
2019-11-01,56.34,56.37,55.85,56.26,55.86,2364500,0.0,0
2019-11-04,56.53,56.99,56.37,56.98,56.58,2368000,0.0,0
2019-11-05,57.16,57.98,57.01,57.88,57.47,2897900,0.0,0
2019-11-06,57.9,57.9,57.04,57.86,57.45,2649200,0.0,0
2019-11-07,58.0,58.5,57.86,58.24,57.83,2860900,0.0,0
2019-11-08,58.2,58.35,57.89,58.18,57.77,2520600,0.0,0
2019-11-11,58.01,58.3,57.2,58.26,57.85,3172600,0.0,0
2019-11-12,58.34,58.41,57.67,57.85,57.44,1936000,0.0,0
2019-11-13,57.6,57.84,57.45,57.59,57.18,1817900,0.0,0
2019-11-14,57.24,57.72,57.08,57.63,57.22,1901400,0.0,0
2019-11-15,57.89,58.15,57.68,57.79,57.38,1647700,0.0,0
2019-11-18,57.68,57.8,57.2,57.78,57.37,2205200,0.0,0
2019-11-19,57.99,58.05,57.3,57.55,57.14,2103400,0.0,0
2019-11-20,57.33,57.49,56.26,56.83,56.43,3125800,0.0,0
2019-11-21,56.85,57.07,56.54,56.59,56.19,2125900,0.0,0
2019-11-22,56.81,57.12,56.6,57.01,56.61,1530200,0.0,0
2019-11-25,57.2,57.77,56.84,57.56,57.15,2076400,0.0,0
2019-11-26,57.78,57.89,57.12,57.59,57.18,2665400,0.0,0
2019-11-27,57.67,57.95,57.39,57.75,57.34,1627000,0.0,0
2019-11-29,57.75,57.95,57.47,57.64,57.23,1098400,0.0,0
2019-12-02,57.6,57.8,56.7,56.72,56.32,2977200,0.0,0
2019-12-03,56.2,56.34,55.62,55.93,55.53,3669100,0.0,0
2019-12-04,56.08,56.55,55.76,55.78,55.39,3379700,0.0,0
2019-12-05,56.05,56.18,55.49,55.53,55.14,2791700,0.0,0
2019-12-06,55.82,56.27,55.77,55.94,55.54,2257000,0.0,0
2019-12-09,55.81,55.94,55.41,55.47,55.08,2553700,0.0,0
2019-12-10,55.29,55.58,54.76,54.91,54.7,2785000,0.18,0
2019-12-11,54.54,54.85,53.81,54.0,53.79,4881300,0.0,0
2019-12-12,54.46,55.42,54.16,54.49,54.28,4054800,0.0,0
2019-12-13,54.34,54.85,54.13,54.15,53.94,2705400,0.0,0
2019-12-16,54.55,54.93,54.34,54.35,54.14,3293900,0.0,0
2019-12-17,54.3,55.11,54.02,54.18,53.97,3965600,0.0,0
2019-12-18,54.35,54.54,53.43,53.6,53.39,3930600,0.0,0
2019-12-19,53.51,54.2,53.51,54.08,53.87,3833800,0.0,0
2019-12-20,54.28,54.7,54.01,54.63,54.42,7819700,0.0,0
2019-12-23,54.81,56.09,54.67,55.25,55.04,7845800,0.0,0
2019-12-24,55.27,55.32,54.67,54.94,54.73,1326400,0.0,0
2019-12-26,54.94,55.34,54.6,54.9,54.69,1930800,0.0,0
2019-12-27,54.97,55.0,54.06,54.32,54.11,3348200,0.0,0
2019-12-30,54.32,54.4,53.82,54.08,53.87,2696300,0.0,0
2019-12-31,54.04,54.12,53.82,53.98,53.77,2881100,0.0,0
2020-01-02,54.38,54.87,54.29,54.84,54.63,3713000,0.0,0
2020-01-03,53.6,54.42,53.04,54.35,54.14,3536100,0.0,0
2020-01-06,53.69,54.56,53.48,54.13,53.92,4200300,0.0,0
2020-01-07,54.33,54.4,53.88,54.29,54.08,2997600,0.0,0
2020-01-08,53.68,54.66,53.64,54.37,54.16,4103100,0.0,0
2020-01-09,54.5,54.82,54.2,54.3,54.09,3850700,0.0,0
2020-01-10,54.35,54.4,53.69,53.94,53.73,4051400,0.0,0
2020-01-13,53.94,54.08,53.61,53.99,53.78,3958600,0.0,0
2020-01-14,54.58,55.18,54.34,54.49,54.28,5007400,0.0,0
2020-01-15,54.29,55.1,54.12,55.03,54.82,4097100,0.0,0
2020-01-16,55.38,55.68,55.08,55.3,55.09,2950500,0.0,0
2020-01-17,55.41,55.49,54.76,55.01,54.8,3999900,0.0,0
2020-01-21,54.63,55.07,53.18,53.54,53.33,6753500,0.0,0
2020-01-22,53.9,54.28,53.46,53.48,53.27,5303600,0.0,0
2020-01-23,53.0,55.46,51.85,55.4,55.19,6784500,0.0,0
2020-01-24,55.61,56.56,54.96,56.55,56.33,7995100,0.0,0
2020-01-27,55.23,56.66,55.15,56.25,56.03,8275100,0.0,0
2020-01-28,56.59,57.73,56.39,57.6,57.38,6242300,0.0,0
2020-01-29,57.75,58.19,56.82,56.89,56.67,6666000,0.0,0
2020-01-30,55.31,56.47,55.22,55.83,55.62,5129600,0.0,0
2020-01-31,55.62,55.92,54.63,54.98,54.77,5552100,0.0,0
2020-02-03,55.41,55.73,54.69,55.22,55.01,4071100,0.0,0
2020-02-04,55.99,56.37,55.5,55.68,55.47,3619400,0.0,0
2020-02-05,56.43,57.23,56.12,56.95,56.73,3162700,0.0,0
2020-02-06,57.38,58.01,57.08,57.72,57.5,4332000,0.0,0
2020-02-07,57.46,57.71,56.99,57.26,57.04,2703600,0.0,0
2020-02-10,57.2,57.49,56.53,57.42,57.2,2882100,0.0,0
2020-02-11,57.82,58.59,57.59,57.93,57.71,2848600,0.0,0
2020-02-12,58.27,58.66,58.0,58.48,58.26,2234200,0.0,0
2020-02-13,58.06,58.69,57.85,58.54,58.32,2401800,0.0,0
2020-02-14,58.68,58.83,57.89,57.97,57.75,2481800,0.0,0
2020-02-18,58.0,58.34,57.38,57.6,57.38,3086600,0.0,0
2020-02-19,57.68,57.74,57.06,57.11,56.89,2135100,0.0,0
2020-02-20,57.04,57.51,56.71,56.94,56.72,2924800,0.0,0
2020-02-21,56.53,56.8,55.46,56.53,56.31,2324600,0.0,0
2020-02-24,54.87,54.99,53.35,54.11,53.9,7538400,0.0,0
2020-02-25,54.41,54.5,49.55,49.66,49.47,9351700,0.0,0
2020-02-26,50.09,50.48,48.08,48.9,48.71,9286300,0.0,0
2020-02-27,47.15,49.21,45.64,46.63,46.45,10355900,0.0,0
2020-02-28,45.07,46.77,44.98,46.19,46.01,11854000,0.0,0
2020-03-02,46.54,47.18,44.34,46.95,46.77,9043200,0.0,0
2020-03-03,47.54,48.39,45.05,45.21,45.21,7338100,0.18,0
2020-03-04,45.89,47.07,44.86,46.93,46.93,8990300,0.0,0
2020-03-05,45.06,45.7,44.18,45.25,45.25,10774800,0.0,0
2020-03-06,43.56,46.8,42.72,45.73,45.73,10708100,0.0,0
2020-03-09,42.89,45.61,42.72,43.62,43.62,9602300,0.0,0
2020-03-10,45.28,45.85,42.51,45.56,45.56,9366900,0.0,0
2020-03-11,43.99,44.38,41.63,42.49,42.49,10508900,0.0,0
2020-03-12,39.33,40.6,35.61,36.07,36.07,16353400,0.0,0
2020-03-13,39.19,41.28,36.31,41.28,41.28,14308800,0.0,0
2020-03-16,36.5,39.45,35.85,37.52,37.52,15849900,0.0,0
2020-03-17,38.21,40.69,36.0,38.25,38.25,8133500,0.0,0
2020-03-18,35.78,36.42,29.15,35.15,35.15,14219600,0.0,0
2020-03-19,34.65,35.05,30.5,30.86,30.86,18052600,0.0,0
2020-03-20,32.06,33.95,29.65,31.94,31.94,12617900,0.0,0
2020-03-23,31.69,34.49,30.25,33.73,33.73,9616800,0.0,0
2020-03-24,38.2,39.13,36.05,37.66,37.66,12803100,0.0,0
2020-03-25,41.52,41.73,37.31,39.4,39.4,16346700,0.0,0
2020-03-26,40.9,43.56,40.06,41.23,41.23,8986300,0.0,0
2020-03-27,39.84,40.14,36.1,36.38,36.38,8297400,0.0,0
2020-03-30,35.52,37.15,34.5,35.1,35.1,7443300,0.0,0
2020-03-31,35.27,37.47,34.95,35.61,35.61,7794100,0.0,0
2020-04-01,34.05,34.2,31.81,32.04,32.04,8545900,0.0,0
2020-04-02,32.11,32.84,30.87,31.5,31.5,7853500,0.0,0
2020-04-03,31.33,31.88,29.73,30.54,30.54,9915900,0.0,0
2020-04-06,31.79,31.96,30.0,30.7,30.7,13833000,0.0,0
2020-04-07,33.84,35.43,32.32,32.77,32.77,14036100,0.0,0
2020-04-08,33.56,34.78,32.63,34.3,34.3,8923800,0.0,0
2020-04-09,36.3,37.31,35.13,36.47,36.47,10383700,0.0,0
2020-04-13,36.72,36.72,33.75,34.26,34.26,9067500,0.0,0
2020-04-14,35.17,36.05,34.71,34.78,34.78,8860200,0.0,0
2020-04-15,35.15,35.26,32.52,32.82,32.82,20028700,0.0,0
2020-04-16,32.12,32.35,30.2,30.68,30.68,17862300,0.0,0
2020-04-17,32.5,32.95,30.9,31.19,31.19,20139900,0.0,0
2020-04-20,30.64,31.48,29.51,31.06,31.06,14553900,0.0,0
2020-04-21,30.05,31.23,29.6,30.11,30.11,12562700,0.0,0
2020-04-22,30.63,30.81,28.8,29.71,29.71,15697200,0.0,0
2020-04-23,29.81,30.78,29.59,30.14,30.14,11631600,0.0,0
2020-04-24,30.2,30.43,28.8,29.33,29.33,15077600,0.0,0
